2026-08-02 09:48:45 status unpacked libldb2:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured libldb2:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed libldb2:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed samba-libs:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure python3-ldb:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked python3-ldb:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured python3-ldb:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed python3-ldb:amd64 2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure samba-common-bin:amd64 2:4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked samba-common-bin:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured samba-common-bin:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed samba-common-bin:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status installed libsmbclient0:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 configure python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.2 <none>
2026-08-02 09:48:45 status unpacked python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:45 status half-configured python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:46 status installed python3-samba:amd64 2:4.23.6+dfsg-1ubuntu2.2
2026-08-02 09:48:46 trigproc man-db:amd64 2.13.1-1build1 <none>
2026-08-02 09:48:46 status half-configured man-db:amd64 2.13.1-1build1
2026-08-02 09:48:48 status installed man-db:amd64 2.13.1-1build1
2026-08-02 09:48:48 trigproc libc-bin:amd64 2.43-2ubuntu2 <none>
2026-08-02 09:48:48 status half-configured libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:48 status installed libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 startup archives unpack
2026-08-02 09:48:54 upgrade libc-dev-bin:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:54 status half-configured libc-dev-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc-dev-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status half-installed libc-dev-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status triggers-pending man-db:amd64 2.13.1-1build1
2026-08-02 09:48:54 status unpacked libc-dev-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 upgrade libc6-dev:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:54 status half-configured libc6-dev:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc6-dev:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status half-installed libc6-dev:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc6-dev:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 upgrade libc6-dbg:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:54 status half-configured libc6-dbg:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc6-dbg:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status half-installed libc6-dbg:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc6-dbg:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 upgrade libc-gconv-modules-extra:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:54 status half-configured libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status half-installed libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-08-02 09:48:54 status unpacked libc-gconv-modules-extra:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 startup packages configure
2026-08-02 09:48:54 configure libc-gconv-modules-extra:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:48:54 status unpacked libc-gconv-modules-extra:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 status half-configured libc-gconv-modules-extra:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 status installed libc-gconv-modules-extra:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:54 startup archives unpack
2026-08-02 09:48:55 upgrade libc6:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:55 status triggers-pending libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status half-configured libc6:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status unpacked libc6:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status half-installed libc6:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status unpacked libc6:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:55 startup packages configure
2026-08-02 09:48:55 configure libc6:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:48:55 status unpacked libc6:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:55 status half-configured libc6:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:55 status installed libc6:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:55 status triggers-pending systemd:amd64 259.5-0ubuntu3
2026-08-02 09:48:55 startup archives unpack
2026-08-02 09:48:55 upgrade libc-bin:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:55 status half-configured libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status unpacked libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status half-installed libc-bin:amd64 2.43-2ubuntu2
2026-08-02 09:48:55 status unpacked libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:55 startup packages configure
2026-08-02 09:48:55 configure libc-bin:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:48:55 status unpacked libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:55 status half-configured libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:56 status installed libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:56 startup archives unpack
2026-08-02 09:48:56 upgrade locales:all 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:56 status half-configured locales:all 2.43-2ubuntu2
2026-08-02 09:48:56 status unpacked locales:all 2.43-2ubuntu2
2026-08-02 09:48:56 status half-installed locales:all 2.43-2ubuntu2
2026-08-02 09:48:56 status unpacked locales:all 2.43-2ubuntu2.3
2026-08-02 09:48:56 upgrade libc-devtools:amd64 2.43-2ubuntu2 2.43-2ubuntu2.3
2026-08-02 09:48:56 status half-configured libc-devtools:amd64 2.43-2ubuntu2
2026-08-02 09:48:56 status unpacked libc-devtools:amd64 2.43-2ubuntu2
2026-08-02 09:48:56 status half-installed libc-devtools:amd64 2.43-2ubuntu2
2026-08-02 09:48:56 status unpacked libc-devtools:amd64 2.43-2ubuntu2.3
2026-08-02 09:48:56 startup packages configure
